date,temperature,humidity,wind_speed,outlook
2022-01-01,27.31,58.21,8.15,sunny
2022-01-02,27.9,60.0,6.59,sunny
2022-01-03,27.79,66.46,5.16,sunny
2022-01-04,27.69,67.17,5.49,sunny
2022-01-05,27.59,69.75,3.92,sunny
2022-01-06,27.34,75.38,4.63,sunny
2022-01-07,27.52,73.96,6.51,sunny
2022-01-08,27.54,68.29,8.89,sunny
2022-01-09,27.18,71.54,7.96,sunny
2022-01-10,27.56,69.08,8.33,sunny
2022-01-11,27.54,64.25,8.85,sunny
2022-01-12,26.82,59.83,8.55,sunny
2022-01-13,26.58,63.75,6.67,sunny
2022-01-14,26.61,56.08,7.65,sunny
2022-01-15,26.65,63.88,8.06,sunny
2022-01-16,26.95,63.21,9.15,sunny
2022-01-17,27.4,63.29,7.01,sunny
2022-01-18,27.55,62.25,8.12,sunny
2022-01-19,27.18,64.58,6.9,sunny
2022-01-20,27.26,65.0,7.65,sunny
2022-01-21,27.2,67.58,6.46,sunny
2022-01-22,27.2,67.46,8.33,sunny
2022-01-23,27.24,71.04,9.72,sunny
2022-01-24,27.45,73.21,7.3,sunny
2022-01-25,27.05,75.0,7.78,sunny
2022-01-26,27.81,70.92,8.98,sunny
2022-01-27,27.78,70.54,7.97,sunny
2022-01-28,28.3,66.92,7.02,sunny
2022-01-29,27.81,72.54,9.09,sunny
2022-01-30,27.55,72.08,11.51,sunny
2022-01-31,27.76,67.54,12.81,sunny
2022-02-01,28.5,60.88,13.38,sunny
2022-02-02,28.6,60.12,11.49,sunny
2022-02-03,28.68,62.08,9.72,sunny
2022-02-04,29.21,61.5,8.19,sunny
2022-02-05,29.04,58.58,5.89,sunny
2022-02-06,28.62,56.21,9.75,sunny
2022-02-07,29.09,60.54,9.33,sunny
2022-02-08,29.27,57.88,10.72,sunny
2022-02-09,29.23,57.96,11.43,sunny
2022-02-10,29.36,59.17,9.32,sunny
2022-02-11,28.9,60.58,8.77,sunny
2022-02-12,28.78,61.62,8.25,sunny
2022-02-13,27.85,71.04,10.64,rainy
2022-02-14,28.63,69.83,10.45,sunny
2022-02-15,28.42,67.58,13.08,sunny
2022-02-16,28.38,67.08,13.72,sunny
2022-02-17,28.25,69.75,12.95,sunny
2022-02-18,28.47,71.0,14.24,sunny
